"package_name","package_version","package_description","dependencies"
"accountsservice-libs","23.13.9","The accountsservice-libs package contains a library that can be used by applications that want to interact with the accountsservice daemon. Fedora Project","accountsservice, glib2, glibc, libgcc, libxcrypt, systemd-libs"
"afftools","3.7.20","The afflib-utils package contains utilities for using afflib. Fedora Project","afflib, expat, glibc, libgcc, libstdc++, openssl-libs"
"aircrack-ng-devel","1.7","Development files for aircrack-ng. Fedora Project","aircrack-ng"
"akonadi-mime-doc","24.12.1","Developer Documentation files for akonadi-mime for use with KDevelop or QtCreator. Fedora Project",""
"ansible-collection-microsoft-sql","2.5.2","This RPM installs the microsoft.sql Ansible collection that provides the server role for Microsoft SQL Server management. This RPM also installs the microsoft.sql-server role in the legacy roles format for users of Ansible < 2.9. Fedora Project","ansible-core, linux-system-roles"
"apache-commons-pool-javadoc","1.6","API documentation for apache-commons-pool. Fedora Project","javapackages-filesystem"
"audiofile","0.3.6","The Audio File library is an implementation of the Audio File Library from SGI, which provides an API for accessing audio file formats like AIFF/AIFF-C, WAVE, and NeXT/Sun .snd/.au files. This library is used by the EsounD daemon.  Install audiofile if you are installing EsounD or you need an API for any of the sound file formats it can handle. Fedora Project","flac-libs, glibc, libgcc, libstdc++"
"aws-tools","24.0.0","AWS is a complete framework to develop Web based applications. The main part of the framework is the embedded Web server. This small yet powerful Web server can be embedded into your application so your application will be able to talk with a standard Web browser.  This package contains contains supporting tools for the Ada Web Server. Fedora Project","aws, glibc, gnatcoll-core, gnutls, gnutls-devel, libgcc, libgcrypt-devel, libgnat, libgpr, python3, templates_parser, xmlada, zlib-ada"
"babeld","1.13.1","Babel is a loop-avoiding distance-vector routing protocol roughly based on HSDV and AODV, but with provisions for link cost estimation and redistribution of routes from other routing protocols. Fedora Project","bash, glibc"
"baresip-mqtt","3.18.0","Baresip is a modular SIP user-agent with audio and video support.  This module provides the Message Queue Telemetry Transport (MQTT) management module. Fedora Project","baresip, glibc, mosquitto"
"boinc-client-devel","7.20.2","This package contains development files for boinc-client. Fedora Project","boinc-client, libjpeg-turbo-devel, mariadb-connector-c-devel, openssl-devel, pkgconf-pkg-config"
"botan2-devel","2.19.5","The botan2-devel package contains libraries and header files for developing applications that use botan2. Fedora Project","botan2, pkgconf-pkg-config"
"canl-c","3.0.0","This is the C part of the EMI caNl -- the Common Authentication Library. Fedora Project","c-ares, glibc, openssl-libs"
"ceph-radosgw","19.2.0","RADOS is a distributed object store used by the Ceph distributed storage system.  This package provides a REST gateway to the object store that aims to implement a superset of Amazon's S3 service as well as the OpenStack Object Storage (""Swift"") API. Fedora Project","bash, ceph-base, ceph-selinux, expat, glibc, gperftools-libs, libarrow, libcurl, libcurl-minimal, libgcc, libicu, librabbitmq, librados2, librdkafka, librgw2, libstdc++, lmdb-libs, lua-libs, mailcap, openldap, openssl-libs, parquet-libs, sqlite-libs"
"ceph-selinux","19.2.0","This package contains SELinux support for Ceph MON, OSD and MDS. The package also performs file-system relabelling which can take a long time on heavily populated file-systems. Fedora Project","bash, ceph-base, gawk, libselinux-utils, policycoreutils, selinux-policy"
"chafa-static","1.14.5","Static library for chafa. Fedora Project",""
"clevis","21","Clevis is a framework for automated decryption. It allows you to encrypt data using sophisticated unlocking policies which enable decryption to occur automatically.  The clevis package provides basic encryption/decryption policy support. Users can use this directly; but most commonly, it will be used as a building block for other packages. For example, see the clevis-luks and clevis-dracut packages for automatic root volume unlocking of LUKSv1/LUKSv2 volumes during early boot. Fedora Project","bash, clevis-pin-tpm2, coreutils, coreutils-single, curl, glibc, jansson, jose, jq, libgcc, libjose, openssl-libs, shadow-utils, systemd, tpm2-tools"
